同花顺iFinD,399905.SZ
,中证500
日期,涨跌幅
2020-05-12,0.2961 
2020-05-13,0.4320 
2020-05-14,-0.8882 
2020-05-15,0.3796 
2020-05-18,-0.5285 
2020-05-19,1.2604 
2020-05-20,-1.0486 
2020-05-21,-1.1572 
2020-05-22,-1.8051 
2020-05-25,-0.2181 
2020-05-26,1.9488 
2020-05-27,-0.9356 
2020-05-28,-0.1552 
2020-05-29,0.8426 
2020-06-01,3.0176 
2020-06-02,-0.0545 
2020-06-03,0.1054 
2020-06-04,0.0797 
2020-06-05,0.1555 
2020-06-08,-0.1812 
2020-06-09,0.6291 
2020-06-10,0.0867 
2020-06-11,-0.4655 
2020-06-12,0.0427 
2020-06-15,-0.0151 
2020-06-16,1.8720 
2020-06-17,0.7044 
2020-06-18,-0.0177 
2020-06-19,0.9198 
2020-06-22,-0.0539 
2020-06-23,0.3512 
2020-06-24,-0.2628 
2020-06-29,-0.4604 
2020-06-30,1.7697 
2020-07-01,0.2979 
2020-07-02,1.5878 
2020-07-03,1.2758 
2020-07-06,4.1039 
2020-07-07,1.2726 
2020-07-08,2.4355 
2020-07-09,2.4226 
2020-07-10,-0.2586 
2020-07-13,3.3413 
2020-07-14,-1.3304 
2020-07-15,-2.4808 
2020-07-16,-4.8027 
2020-07-17,0.3891 
2020-07-20,2.8724 
2020-07-21,0.5591 
2020-07-22,0.8740 
2020-07-23,-0.0091 
2020-07-24,-5.0770 
2020-07-27,0.2348 
2020-07-28,0.9673 
2020-07-29,2.6826 
2020-07-30,-0.2884 
2020-07-31,1.0479 
2020-08-03,2.4338 
2020-08-04,-0.6247 
2020-08-05,1.1218 
2020-08-06,-0.0375 
2020-08-07,-1.2026 
2020-08-10,0.5444 
2020-08-11,-1.8505 
2020-08-12,-1.0975 
2020-08-13,0.3716 
2020-08-14,1.0821 
2020-08-17,1.8266 
2020-08-18,0.6650 
2020-08-19,-1.8135 
2020-08-20,-1.0874 
2020-08-21,0.7607 
2020-08-24,0.6776 
2020-08-25,-0.5444 
2020-08-26,-1.9041 
2020-08-27,0.8108 
2020-08-28,1.7088 
2020-08-31,-0.3404 
2020-09-01,0.6302 
2020-09-02,0.1058 
2020-09-03,-0.8233 
2020-09-04,-0.6556 
2020-09-07,-2.1117 
2020-09-08,0.7144 
2020-09-09,-2.6954 
2020-09-10,-1.7901 
2020-09-11,1.2252 
2020-09-14,0.6222 
2020-09-15,0.5769 
2020-09-16,-0.5330 
2020-09-17,0.2075 
2020-09-18,1.6091 
2020-09-21,-0.3633 
2020-09-22,-1.3545 
2020-09-23,0.5250 
2020-09-24,-2.3059 
2020-09-25,-0.1241 
2020-09-28,-0.9367 
2020-09-29,0.8141 
2020-09-30,-0.5822 
2020-10-09,2.6720 
2020-10-12,2.8815 
2020-10-13,0.1563 
2020-10-14,-0.6567 
2020-10-15,-0.7426 
2020-10-16,-0.4854 
2020-10-19,-1.0945 
2020-10-20,1.0190 
2020-10-21,-1.1381 
2020-10-22,-0.5176 
2020-10-23,-1.6444 
2020-10-26,0.0180 
2020-10-27,0.1121 
2020-10-28,0.3963 
2020-10-29,0.1472 
2020-10-30,-2.2975 
2020-11-02,0.5176 
2020-11-03,1.6059 
2020-11-04,-0.1219 
2020-11-05,1.8899 
2020-11-06,-0.7987 
2020-11-09,1.9108 
2020-11-10,-0.7563 
2020-11-11,-1.2314 
2020-11-12,0.3318 
2020-11-13,-0.1350 
2020-11-16,1.2748 
2020-11-17,-0.7895 
2020-11-18,0.0643 
2020-11-19,0.3089 
2020-11-20,0.9808 
2020-11-23,0.7776 
2020-11-24,0.0349 
2020-11-25,-1.9277 
2020-11-26,-0.2529 
2020-11-27,0.2732 
2020-11-30,-0.4828 
2020-12-01,1.6718 
2020-12-02,0.1301 
2020-12-03,0.0917 
2020-12-04,0.3703 
2020-12-07,-0.6195 
2020-12-08,-0.0160 
2020-12-09,-1.8125 
2020-12-10,0.2041 
2020-12-11,-1.7511 
2020-12-14,0.7986 
2020-12-15,0.1049 
2020-12-16,-0.4811 
2020-12-17,1.1782 
2020-12-18,-0.2692 
2020-12-21,1.6955 
2020-12-22,-2.3214 
2020-12-23,0.9207 
2020-12-24,-1.6231 
2020-12-25,1.1808 
2020-12-28,-0.5418 
2020-12-29,-0.7147 
2020-12-30,1.1193 
2020-12-31,1.5611 
2021-01-04,1.8167 
2021-01-05,0.8784 
2021-01-06,-0.1772 
2021-01-07,0.1528 
2021-01-08,0.2979 
2021-01-11,-1.5585 
2021-01-12,1.3606 
2021-01-13,-0.7078 
2021-01-14,-0.8778 
2021-01-15,-0.3476 
2021-01-18,1.5109 
2021-01-19,-0.5847 
2021-01-20,0.9117 
2021-01-21,1.3324 
2021-01-22,0.2312 
2021-01-25,0.1131 
2021-01-26,-1.6907 
2021-01-27,0.3704 
2021-01-28,-2.1775 
2021-01-29,-1.0639 
2021-02-01,0.7428 
2021-02-02,0.9621 
